Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000022523,Fkbp5,2.342704533,FS60,4.07E-93,6.09E-89,
ENSRNOG00000058186,Errfi1,1.530300508,FS30,2.68E-64,4.00E-60,
ENSRNOG00000007284,Slc2a1,1.486222684,FS30,1.48E-59,1.11E-55,
ENSRNOG00000013140,Pdzd2,1.353402355,FS120,1.2E-49,1.78E-45,
ENSRNOG00000015615,Tnfrsf11a,1.679308308,FS60,2.9E-49,2.17E-45,
ENSRNOG00000020533,Htra1,1.624096801,FS60,3.24E-44,1.62E-40,
ENSRNOG00000014343,Anln,1.164847437,FS60,1.94E-43,7.26E-40,
ENSRNOG00000029980,Zbtb16,1.429694466,FS60,4.19E-41,1.26E-37,
ENSRNOG00000056457,Gpd1,2.475980391,FS30,1.23E-40,6.11E-37,
ENSRNOG00000045649,Arrdc3,1.111998985,FS30,5.62E-34,2.10E-30,
ENSRNOG00000019018,Plat,1.361349046,FS30,2.5E-30,7.48E-27,
ENSRNOG00000007387,Per1,1.549100712,FS30,7.2E-30,1.80E-26,
ENSRNOG00000049560,Glul,0.875527465,FS30,1.47E-27,3.15E-24,
ENSRNOG00000007637,Acer2,1.419478898,FS30,1.82E-27,3.41E-24,
ENSRNOG00000003745,Atf3,3.894391793,FS30,1.21E-26,2.01E-23,
ENSRNOG00000017198,Hif3a,1.922693526,FS60,5.54E-26,8.31E-23,
ENSRNOG00000051548,Lmod1,1.288873062,FS60,4.45E-26,8.31E-23,
ENSRNOG00000012475,Prr5,1.143795308,FS60,5.12E-26,8.31E-23,
ENSRNOG00000009740,Slco1c1,-0.906171516,FS60,7.85E-26,1.07E-22,
ENSRNOG00000014288,Fn1,1.403250292,FS30,8.54E-26,1.28E-22,
ENSRNOG00000002057,Slc10a6,1.772875537,FS30,7.04E-25,9.57E-22,
ENSRNOG00000001766,Tfrc,-0.947043197,FS30,1.02E-24,1.27E-21,
ENSRNOG00000014215,Klf9,0.931025096,FS30,1.52E-24,1.74E-21,
ENSRNOG00000015904,Wfdc1,1.427968185,FS60,4.41E-24,5.09E-21,
ENSRNOG00000018700,Mobp,1.054307557,FS30,1.03E-23,1.10E-20,
ENSRNOG00000018052,Cnksr3,0.904782072,FS60,1.12E-23,1.20E-20,
ENSRNOG00000014456,Coq10b,1.057806995,FS30,4.32E-22,4.31E-19,
ENSRNOG00000030124,Ptpn11,0.774651043,FS60,5.38E-22,5.38E-19,
ENSRNOG00000004890,Adcy8,-0.819554372,FS120,7.65E-23,5.67E-19,
ENSRNOG00000017319,Mertk,0.727396164,FS60,1.76E-21,1.65E-18,
ENSRNOG00000055305,Parvb,-0.6336412,FS360,1.65E-22,2.45E-18,
ENSRNOG00000003977,Dusp1,2.187172005,FS30,1.34E-20,1.26E-17,
ENSRNOG00000005923,Mtmr2,0.753547382,FS60,2.01E-20,1.78E-17,
