PeakCoordinates,log2 Fold Change GR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change GR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
20:8096921-8097836,3.78,3.65E-85,3.87E-82,ENSRNOG00000000508,Armc12,11799,,20:8096921-8097836,3.29,2.50E-38,2.66E-35,ENSRNOG00000000508,Armc12,11799
8:53055035-53055876,4.32,4.95E-46,2.63E-43,ENSRNOG00000029980,Zbtb16,0,,1:78999212-78999937,6.97,1.27E-27,6.73E-25,ENSRNOG00000017198,Hif3a,1344
10:59884630-59885466,6.88,1.06E-44,3.75E-42,ENSRNOG00000019659,Aspa,0,,1:124775740-124776538,4.19,2.57E-26,9.11E-24,ENSRNOG00000015822,Klf13,0
1:124775740-124776538,4.68,4.04E-38,1.07E-35,ENSRNOG00000015822,Klf13,0,,2:187404496-187405083,7.31,2.12E-21,5.65E-19,ENSRNOG00000018870,Hapln2,2711
10:102329646-102330350,3.84,2.50E-37,5.32E-35,ENSRNOG00000024711,Sdk2,0,,3:164579625-164580290,5.31,6.69E-20,1.42E-17,ENSRNOG00000060501,AABR07054619.1,45651
20:6352008-6352760,5.84,4.75E-37,8.41E-35,ENSRNOG00000000521,Cdkn1a,0,,10:102329646-102330350,3.34,1.40E-19,2.48E-17,ENSRNOG00000024711,Sdk2,0
5:125767676-125768324,6.36,1.39E-34,2.11E-32,ENSRNOG00000022150,AABR07049524.1,94248,,10:37371643-37372317,4.25,6.85E-19,1.04E-16,ENSRNOG00000055800,U6,46636
12:24733088-24733644,6.57,3.41E-34,4.52E-32,ENSRNOG00000018910,Abhd11,8092,,5:125767676-125768324,5.36,8.42E-19,1.12E-16,ENSRNOG00000022150,AABR07049524.1,94248
2:187404496-187405083,8.18,4.81E-34,5.68E-32,ENSRNOG00000018870,Hapln2,2711,,8:48415766-48416308,6.2,3.03E-18,3.27E-16,ENSRNOG00000006663,Usp2,0
4:100372804-100373389,5.58,1.71E-32,1.82E-30,ENSRNOG00000013605,Sh2d6,707,,7:125544399-125545132,4.38,3.07E-18,3.27E-16,ENSRNOG00000012475,Prr5,31195
7:59260920-59262075,6.82,6.10E-31,5.89E-29,ENSRNOG00000004483,Ptprr,0,,2:197991500-197992016,6.36,3.87E-18,3.74E-16,ENSRNOG00000042717,Ciart,0
20:29531915-29532734,3.75,1.80E-30,1.60E-28,ENSRNOG00000000576,Anapc16,11895,,11:31001504-31002048,6.68,5.98E-18,5.30E-16,ENSRNOG00000002072,Eva1c,403
13:52169317-52169953,4.44,6.28E-30,5.13E-28,ENSRNOG00000051548,Lmod1,0,,3:161812809-161813612,5.86,1.96E-17,1.60E-15,ENSRNOG00000018557,Cdh22,0
19:53630868-53631384,7.04,7.13E-30,5.41E-28,ENSRNOG00000017905,Map1lc3b,0,,20:29531915-29532734,3.39,2.35E-17,1.78E-15,ENSRNOG00000000576,Anapc16,11895
18:76830472-76830996,4.53,1.26E-29,8.94E-28,ENSRNOG00000053640,Kcng2,0,,20:6352008-6352760,4.66,3.08E-17,2.19E-15,ENSRNOG00000000521,Cdkn1a,0
12:40898317-40899057,6.84,4.76E-29,3.16E-27,ENSRNOG00000030124,Ptpn11,0,,8:53055035-53055876,3.44,1.89E-16,1.26E-14,ENSRNOG00000029980,Zbtb16,0
11:79895787-79896323,4.36,5.29E-29,3.31E-27,ENSRNOG00000051729,U7,80428,,1:201515592-201516361,4.9,3.94E-16,2.46E-14,ENSRNOG00000020533,Htra1,0
11:31001504-31002048,7.34,9.86E-29,5.82E-27,ENSRNOG00000002072,Eva1c,403,,3:81507404-81507938,6.33,2.37E-15,1.40E-13,ENSRNOG00000007989,Chst1,0
4:179304744-179305281,6.64,1.78E-28,9.93E-27,ENSRNOG00000015514,Bcat1,0,,11:64640954-64641505,7.17,3.34E-15,1.69E-13,ENSRNOG00000003088,Arhgap31,0
4:159131339-159131937,6.95,2.25E-28,1.20E-26,ENSRNOG00000019719,Kcna5,52337,,10:55683341-55684052,2.48,3.31E-15,1.69E-13,ENSRNOG00000007387,Per1,2998
10:55683341-55684052,2.79,2.58E-28,1.30E-26,ENSRNOG00000007387,Per1,2998,,1:124832134-124832638,5.96,3.29E-15,1.69E-13,ENSRNOG00000015822,Klf13,28772
16:20357789-20358289,7.22,5.39E-28,2.60E-26,ENSRNOG00000019009,Arrdc2,1178,,4:100372804-100373389,4.95,3.70E-15,1.79E-13,ENSRNOG00000013605,Sh2d6,707
3:2251721-2252186,5.9,7.61E-28,3.52E-26,ENSRNOG00000008190,LOC100911867,0,,19:53630868-53631384,6,5.42E-15,2.51E-13,ENSRNOG00000017905,Map1lc3b,0
12:28810982-28811724,3.37,8.03E-28,3.55E-26,ENSRNOG00000024435,Wbscr17,0,,11:87063959-87064622,3.74,8.81E-15,3.90E-13,ENSRNOG00000000281,Prodh,0
15:2813499-2813999,5.25,2.48E-27,1.06E-25,ENSRNOG00000012850,Kat6b,0,,17:13391526-13391993,6.85,9.74E-15,4.14E-13,ENSRNOG00000013090,Gadd45g,0
14:83721019-83721499,6.14,2.80E-27,1.14E-25,ENSRNOG00000025121,Pla2g3,3434,,8:66509420-66509881,5.94,1.23E-14,5.03E-13,ENSRNOG00000052283,AABR07070345.1,71422
1:201515592-201516361,5.25,4.00E-27,1.57E-25,ENSRNOG00000020533,Htra1,0,,4:179304744-179305281,5.71,1.77E-14,6.96E-13,ENSRNOG00000015514,Bcat1,0
