PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
10:59884750-59885408,7.04,9.69E-32,1.700E-28,ENSRNOG00000019659,Aspa,0,,1:78999270-78999937,6.55,1.62E-37,2.83E-34,ENSRNOG00000017198,Hif3a,1402
1:78999270-78999937,6.2,1.04E-28,9.130E-26,ENSRNOG00000017198,Hif3a,1402,,10:94456844-94457362,4.64,1.34E-25,1.18E-22,ENSRNOG00000010557,Smarcd2,0
8:62851938-62852376,5.64,8.62E-21,5.030E-18,ENSRNOG00000008219,Ccdc33,0,,1:141917741-141918200,4.78,4.03E-23,2.35E-20,ENSRNOG00000013949,Idh2,24037
8:45406694-45407138,4.98,1.43E-20,6.260E-18,ENSRNOG00000008187,Ubash3b,31260,,8:53055065-53055955,2.52,2.2E-21,9.64E-19,ENSRNOG00000029980,Zbtb16,0
5:166906652-166907085,5.45,2.99E-20,1.050E-17,ENSRNOG00000061404,AABR07050484.1,5539,,8:62851938-62852376,5.44,4.56E-19,1.60E-16,ENSRNOG00000008219,Ccdc33,0
12:30775844-30776810,6.11,8.4E-20,2.450E-17,ENSRNOG00000000931,Sfswap,0,,2:187404539-187405061,4.26,5.85E-18,1.71E-15,ENSRNOG00000018870,Hapln2,2754
6:131994714-131995120,5.19,1.7E-19,4.240E-17,ENSRNOG00000006587,LOC100910833,28825,,11:31001497-31001969,3.19,7.13E-18,1.78E-15,ENSRNOG00000002072,Eva1c,482
7:59260961-59261436,5.11,2.52E-19,5.510E-17,ENSRNOG00000004483,Ptprr,0,,19:55046210-55046655,5.02,8.99E-18,1.97E-15,ENSRNOG00000043077,Zfpm1,47930
17:13391565-13392004,4.97,6.76E-19,1.310E-16,ENSRNOG00000013090,Gadd45g,0,,16:3625721-3626201,2.66,4.29E-17,8.34E-15,ENSRNOG00000015148,Erc2,0
8:53055065-53055955,2.79,1.31E-18,1.920E-16,ENSRNOG00000029980,Zbtb16,0,,10:39446679-39447430,4.52,5.72E-17,1.00E-14,ENSRNOG00000033663,P4ha2,0
19:55046210-55046655,5.05,1.22E-18,1.920E-16,ENSRNOG00000043077,Zfpm1,47930,,7:141366872-141367329,3.24,2.67E-16,4.25E-14,ENSRNOG00000061572,Smarcd1,141
2:140706087-140706802,3.57,1.32E-18,1.920E-16,ENSRNOG00000061857,Mgst2,1595,,10:37371734-37372265,3.15,3.31E-16,4.83E-14,ENSRNOG00000055800,U6,46688
7:141366872-141367329,3.12,1.44E-18,1.940E-16,ENSRNOG00000061572,Smarcd1,141,,10:20451448-20451935,4.9,1.32E-15,1.65E-13,ENSRNOG00000007377,Slit3,0
10:94456844-94457362,4.31,6.7E-18,7.950E-16,ENSRNOG00000010557,Smarcd2,0,,2:62772687-62773235,3.93,1.32E-15,1.65E-13,ENSRNOG00000061724,U1,81503
2:187404539-187405061,4.49,6.81E-18,7.950E-16,ENSRNOG00000018870,Hapln2,2754,,2:140706087-140706802,3.24,1.5E-15,1.75E-13,ENSRNOG00000061857,Mgst2,1595
1:85382670-85383073,3.72,8.81E-18,9.640E-16,ENSRNOG00000058388,Zfp36,64,,8:102737105-102737561,2.94,1.67E-15,1.82E-13,ENSRNOG00000008554,Slc9a9,0
10:39446679-39447430,4.72,1.84E-17,1.890E-15,ENSRNOG00000033663,P4ha2,0,,10:102329747-102330293,2.63,7.36E-15,7.58E-13,ENSRNOG00000024711,Sdk2,0
3:2251776-2252109,6.18,2.12E-17,2.060E-15,ENSRNOG00000008190,LOC100911867,0,,12:30775844-30776810,5.6,8.85E-15,7.74E-13,ENSRNOG00000000931,Sfswap,0
1:141917741-141918200,4.57,2.67E-17,2.460E-15,ENSRNOG00000013949,Idh2,24037,,1:124775761-124776512,2.21,8.64E-15,7.74E-13,ENSRNOG00000015822,Klf13,0
3:148264347-148264948,4.31,3.17E-17,2.770E-15,ENSRNOG00000007946,Bcl2l1,0,,12:38960383-38960755,4.72,8.03E-15,7.74E-13,ENSRNOG00000045574,Morn3,4308
15:24881158-24881577,4.49,4.45E-17,3.710E-15,ENSRNOG00000060872,AABR07017513.1,0,,7:72772312-72772816,3.81,9.77E-15,8.14E-13,ENSRNOG00000006870,Mtdh,0
16:3625721-3626201,2.8,5.21E-17,4.150E-15,ENSRNOG00000015148,Erc2,0,,4:112734480-112734905,4.35,1.09E-14,8.65E-13,ENSRNOG00000006968,Mrpl19,27211
1:165839687-165840278,4.09,8.13E-17,6.190E-15,ENSRNOG00000018873,Fam168a,0,,4:11405176-11405670,3.88,2.51E-14,1.91E-12,ENSRNOG00000013962,Magi2,0
17:22792877-22793293,4.72,3.57E-16,2.610E-14,ENSRNOG00000058495,AABR07027283.1,17961,,1:201515643-201516192,2.95,4.76E-14,3.47E-12,ENSRNOG00000020533,Htra1,0
4:11405176-11405670,4.21,4.58E-16,3.210E-14,ENSRNOG00000013962,Magi2,0,,18:5582847-5583357,2.41,9.24E-14,6.47E-12,ENSRNOG00000052385,AABR07031247.1,1968
12:40898437-40898929,4.25,6.52E-16,4.390E-14,ENSRNOG00000030124,Ptpn11,0,,10:57331776-57332532,2.61,1.93E-13,1.30E-11,ENSRNOG00000031364,Kif1c,0
10:20451448-20451935,5,1.08E-15,6.980E-14,ENSRNOG00000007377,Slit3,0,,10:16778289-16778836,3.79,2.37E-13,1.53E-11,ENSRNOG00000003269,Atp6v0e1,0
9:10964292-10964724,5.13,1.33E-15,8.310E-14,ENSRNOG00000047046,Plin4,0,,11:79895803-79896287,3.32,2.7E-13,1.69E-11,ENSRNOG00000051729,U7,80444
11:31001497-31001969,3.41,1.41E-15,8.520E-14,ENSRNOG00000002072,Eva1c,482,,6:131994714-131995120,4.47,4.22E-13,2.55E-11,ENSRNOG00000006587,LOC100910833,28825
1:94445136-94445593,4.79,2.21E-15,1.290E-13,ENSRNOG00000055333,AABR07003040.1,5675,,8:117266297-117266709,5.89,9.86E-13,5.75E-11,ENSRNOG00000047768,Lamb2,1628
7:72772312-72772816,4.17,2.57E-15,1.420E-13,ENSRNOG00000006870,Mtdh,0,,8:53071420-53071970,2.67,1.38E-12,7.82E-11,ENSRNOG00000029980,Zbtb16,0
10:16942418-16942951,6.35,2.59E-15,1.420E-13,ENSRNOG00000053789,AC111369.1,5709,,6:60150622-60151007,5.83,1.89E-12,1.03E-10,ENSRNOG00000050997,Ifrd1,0
17:12230212-12230672,4.9,4.28E-15,2.270E-13,ENSRNOG00000060985,SNORA17,28043,,19:11908536-11909164,3.47,2.66E-12,1.41E-10,ENSRNOG00000061917,AABR07042840.1,121759
1:201515643-201516192,2.99,4.9E-15,2.520E-13,ENSRNOG00000020533,Htra1,0,,3:148264347-148264948,3.68,3.28E-12,1.69E-10,ENSRNOG00000007946,Bcl2l1,0
2:62772687-62773235,3.88,5.4E-15,2.700E-13,ENSRNOG00000061724,U1,81503,,2:29737857-29738372,2.95,3.66E-12,1.83E-10,ENSRNOG00000017428,Map1b,0
5:167968850-167969205,5.22,9.29E-15,4.520E-13,ENSRNOG00000058186,Errfi1,2842,,12:10363208-10364010,5.5,6.74E-12,3.27E-10,ENSRNOG00000048898,Wasf3,27710
9:19527546-19528005,5.44,9.96E-15,4.710E-13,ENSRNOG00000010350,Rcan2,0,,8:54262522-54262965,3.97,1.19E-11,5.62E-10,ENSRNOG00000053732,AABR07070131.2,358714
1:124832210-124832634,4.78,1.17E-14,5.380E-13,ENSRNOG00000015822,Klf13,28848,,1:124832210-124832634,4.46,1.31E-11,6.05E-10,ENSRNOG00000015822,Klf13,28848
